ID	Evidences length	Evidences list	Complete evidences
Q2FYS6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZ79	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZJ9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZK0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZK1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZK2	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZM0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZW3	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZY8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G026	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G044	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G090	1	SL	SL
Q2G0B4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0D9	1	PHOBIUS_TM	PHOBIUS_TM
Q2G0L5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0W2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G140	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G163	1	SL	SL
Q2G185	1	PHOBIUS_TM	PHOBIUS_TM
Q2G1E0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1G5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1G8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1N0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2B2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2B9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2C2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2F6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2I1	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2M9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2X6	1	PHOBIUS_TM	PHOBIUS_TM
Q53700	1	SL	SL
Q7BHL7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KJN3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9RQP9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
O08387	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A0I4	1	PHOBIUS_TM	PHOBIUS_TM
P0C948	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P60639	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
P60647	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P72358	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUW9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FUX0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUX9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUZ0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV58	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV72	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVH6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVI0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVI5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVJ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVJ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVM4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVQ4	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q2FVR0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVR8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVS0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVX5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVZ6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW36	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW82	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW84	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW99	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWG8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWH9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWI1	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWL9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWM5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWM7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWU3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWY4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FX08	1	PHOBIUS_TM	PHOBIUS_TM
Q2FX86	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXF6	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q2FXG3	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q2FXJ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXJ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXK8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FXN7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXX3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FXZ9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FY03	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FY18	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FY21	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYE7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYI0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYJ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYK0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYL3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYN3	1	PHOBIUS_TM	PHOBIUS_TM
Q2FYP8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYP9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYV8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FYW1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FYW4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FYZ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZ11	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZ18	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZ64	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZ91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZ94	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZ95	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZE4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZE5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZH3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZP2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZQ4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZQ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZR6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZS9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZT8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FZT9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZV1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZV2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZV3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZW5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FZZ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G010	1	PHOBIUS_TM	PHOBIUS_TM
Q2G060	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G061	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G082	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G088	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0B2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0B3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0K4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0P9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0U0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G0V3	1	SL	SL
Q2G0W9	1	PHOBIUS_TM	PHOBIUS_TM
Q2G0Z4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G107	1	PHOBIUS_TM	PHOBIUS_TM
Q2G117	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G120	1	PHOBIUS_TM	PHOBIUS_TM
Q2G127	1	PHOBIUS_TM	PHOBIUS_TM
Q2G128	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G129	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G130	1	PHOBIUS_TM	PHOBIUS_TM
Q2G138	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G145	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G161	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G162	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q2G168	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G171	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G187	1	PHOBIUS_TM	PHOBIUS_TM
Q2G188	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G199	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1D0	1	PHOBIUS_TM	PHOBIUS_TM
Q2G1E8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1F1	1	PHOBIUS_TM	PHOBIUS_TM
Q2G1F7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1H2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1I4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1N9	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q2G1P5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1Z1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1Z2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1Z5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G1Z6	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q2G210	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G212	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G213	1	PHOBIUS_TM	PHOBIUS_TM
Q2G214	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G219	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G226	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G239	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G253	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q2G294	1	SL	SL
Q2G2D4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2D9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2E0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2E1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2E4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2E5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2F4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2F8	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2G3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2H6	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2H7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2H8	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2H9	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2I3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2J0	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2S1	1	PHOBIUS_TM	PHOBIUS_TM
Q2G2T6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2U8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2W1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2X5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9RFJ6	1	PHOBIUS_TM	PHOBIUS_TM
Q9RQP6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9RQP8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUQ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUQ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUQ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUR4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FUR5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUS1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUS2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUS5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUT1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUT3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUU4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FUV1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUZ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUZ3	1	PHOBIUS_TM	PHOBIUS_TM
Q2FUZ7	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV01	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV06	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV15	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV18	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV29	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV36	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV37	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV48	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV51	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV68	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV70	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV73	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV79	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV92	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV93	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FV97	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVA0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVB0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVB3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVB6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVB9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVC0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVC5	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVD0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVD6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVD8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVD9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVE1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVF2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVF3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVF4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVF6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVG1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVG2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVG4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVG9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVH1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVH4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVH8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVH9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVI1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVI6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVI8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVI9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVK0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVK7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVL1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVL3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVN4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVN5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVN6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVN9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVP1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVP2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVP4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVP6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVQ6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVR4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVS2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVS4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVS5	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVS6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVS8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVT9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVU0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVU1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVU4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVU6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVU8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVU9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVV0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVV1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVV3	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVV4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVV8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVW1	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVX1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVZ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVZ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVZ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FVZ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW00	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW04	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW05	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW40	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW47	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW48	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW58	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW60	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW63	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW64	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW65	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW74	1	PHOBIUS_TM	PHOBIUS_TM
Q2FW76	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW77	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW78	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW80	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW83	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FW85	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWA3	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWA7	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWA8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWA9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWB4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWC2	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWF3	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWH8	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWI2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWI3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWI4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWI9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWL3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWL7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWN1	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWN2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWN5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWQ4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWT5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWU8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWU9	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWV3	1	GPI	GPI
Q2FWV7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWV9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FWW4	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWW5	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWW8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
