SEQENCE ID                     TM SP PREDICTION
Q2FXC3                          0  Y n5-16c21/22o
Q2FXG1                          0  0 o
Q2FXG9                          0  0 o
Q2FXJ0                          0  0 o
Q2FXL1                          0  0 o
Q2FXT0                          0  0 o
Q2FYG1                          0  Y n4-16c21/22o
Q2FYP0                          0  0 o
Q2FYQ5                          6  0 i7-29o99-124i136-164o170-190i229-254o274-300i
Q2FYQ6                          6  0 i9-29o73-93i105-125o131-147i186-213o233-257i
Q2FYQ7                          0  0 o
Q2FYQ8                          0  0 o
Q2FYS4                          0  0 o
Q2FYS5                          0  0 o
Q2FZ19                          0  0 o
Q2FZ20                          0  0 o
Q2FZ22                          0  0 o
Q2FZ27                          0  0 o
Q2FZ32                          0  0 o
Q2FZ50                          0  0 o
Q2FZ66                          0  0 o
Q2FZ72                          0  0 o
Q2FZ73                          0  0 o
Q2FZ92                          0  0 o
Q2FZ93                         10  0 o6-24i50-70o76-100i112-132o138-162i174-194o200-218i225-246o252-277i298-320o
Q2FZC5                          0  0 o
Q2FZD3                          0  0 o
Q2FZE2                          0  0 i
Q2FZE3                          0  Y n7-18c22/23o
Q2FZF0                          1  Y n19-32c40/41o621-639i
Q2FZG9                          0  0 o
Q2FZK7                          0  Y n13-24c29/30o
Q2FZL3                          1  0 i9-29o
Q2FZP7                          0  0 o
Q2FZT5                          0  0 o
Q2G093                          4  Y n8-16c20/21o44-64i71-93o125-142i154-173o
Q2G0E0                          0  0 o
Q2G0J1                          0  0 o
Q2G0L4                          1  Y n30-45c52/53o1325-1342i
Q2G0P5                          0  0 o
Q2G0P6                          0  0 o
Q2G0P7                          0  0 o
Q2G0R0                          2  0 i7-25o110-133i
Q2G0S3                          0  0 o
Q2G0U9                          0  Y n5-16c25/26o
Q2G0X7                          0  Y n11-22c30/31o
Q2G184                          3  0 i231-251o257-278i503-525o
Q2G1B9                          0  0 o
Q2G1C0                          0  0 o
Q2G1C4                          0  0 o
Q2G1J2                          0  0 o
Q2G1M6                          0  0 o
Q2G1M8                          0  0 o
Q2G1M9                          0  0 o
Q2G1N2                          0  0 o
Q2G1N3                          0  0 o
Q2G1U6                          0  0 o
Q2G268                          0  Y n4-12c16/17o
Q2G297                          0  0 o
Q2G2C0                          7  Y n10-21c26/27o61-82i94-115o121-144i164-182o212-232i244-264o270-295i
Q2G2C4                          0  0 o
Q2G2F3                          0  0 o
Q2G2H5                          0  0 o
Q2G2M2                         15  0 o12-30i51-70o90-114i126-152o164-185i197-221o227-259i271-296o308-325i337-361o367-385i397-414o420-439i451-476o488-510i
Q2G2P5                          0  Y n6-17c26/27o
Q2G2Q0                          0  0 o
Q2G2R8                          0  Y n8-19c25/26o
Q2G2U1                          2  0 i9-33o39-64i
Q2G2U4                          2  0 i12-33o183-203i
Q2G2X2                          0  0 o
Q53726                          0  0 o
Q53727                          0  0 o
Q93Q23                          1  0 i42-64o
O05204                          0  0 o
O07325                          0  0 o
O34090                          0  0 i
P0A084                          0  0 o
P0A086                          0  0 o
P0A0H0                          0  0 o
P0A0J3                          0  0 o
P0C0V7                          0  0 o
P47768                          0  0 o
P60393                          0  0 o
P60643                          8  0 i12-28o34-55i67-85o97-118i125-146o152-168i180-197o209-232i
P68805                          2  0 i12-31o65-84i
Q05615                          0  0 o
Q2FUQ1                          0  0 i
Q2FUQ2                          0  0 o
Q2FUR9                          8  0 i12-32o38-55i80-103o123-148i187-211o217-240i260-287o307-329i
Q2FUT8                          0  0 o
Q2FUU1                          0  0 o
Q2FUU5                          0  Y n16-27c34/35o
Q2FUW2                         10  0 i21-38o63-83i104-120o132-150i157-175o187-209i237-260o280-301i337-360o366-386i
Q2FUW3                          0  0 o
Q2FUW4                          0  0 o
Q2FUW5                          0  0 o
Q2FUW7                          0  0 o
Q2FUX8                          0  0 o
Q2FUY1                          0  0 o
Q2FV11                          0  0 o
Q2FV21                          0  0 o
Q2FV22                          0  0 o
Q2FV23                          0  0 i
Q2FV30                          0  0 o
Q2FV52                          0  Y n7-17c29/30o
Q2FV57                          0  0 o
Q2FV60                          0  Y n3-11c16/17o
Q2FV74                          0  0 o
Q2FV87                         10  0 i12-32o73-100i136-162o182-202i223-245o290-308i315-332o338-362i369-386o392-411i
Q2FVB8                          5  0 i12-30o50-72i108-131o137-158i179-197o
Q2FVC1                          0  0 o
Q2FVJ5                          0  0 o
Q2FVJ6                          0  0 o
Q2FVJ7                          0  0 o
Q2FVK5                          0  Y n9-19c27/28o
Q2FVK8                          0  0 o
Q2FVM6                          0  0 o
Q2FVM7                          0  0 o
Q2FVQ8                          2  0 i9-32o165-189i
Q2FVR1                          0  0 o
Q2FVR9                          0  0 o
Q2FVT0                          0  0 o
Q2FVT2                          0  0 o
Q2FVT3                          0  0 o
Q2FVT5                          0  0 o
Q2FVT6                          0  0 o
Q2FVV9                          0  0 o
Q2FVX9                          0  0 o
Q2FVY4                          0  0 o
Q2FVZ4                          0  0 o
Q2FW03                          0  0 o
Q2FW19                          0  0 i
Q2FW27                          0  0 o
Q2FW32                          0  0 o
Q2FW34                          0  0 o
Q2FW35                          0  0 o
Q2FW37                          0  0 o
Q2FW71                         10  0 i9-28o34-55i67-87o93-110i131-157o163-182i213-233o245-264i276-309o348-381i
Q2FW92                          3  0 o12-32i44-63o69-85i
Q2FWA0                          1  0 o563-582i
Q2FWB8                          0  0 o
Q2FWB9                          0  0 o
Q2FWC1                          0  0 o
Q2FWC3                          0  0 o
Q2FWD4                          0  0 o
Q2FWD7                          0  0 o
Q2FWD9                          0  0 o
Q2FWE1                          0  0 o
Q2FWE2                          0  0 o
Q2FWE5                          0  0 o
Q2FWE6                          0  0 o
Q2FWE8                          0  0 o
Q2FWF0                          0  0 o
Q2FWF1                          0  0 o
Q2FWF4                          0  0 o
Q2FWF5                          0  0 o
Q2FWF8                          0  Y n4-15c27/28o
Q2FWG0                          0  0 o
Q2FWG1                          0  0 o
Q2FWG2                          0  0 o
Q2FWG3                          0  0 o
Q2FWG4                          5  Y n5-16c20/21o56-79i134-154o178-194i206-223o229-251i
Q2FWH3                          0  0 o
Q2FWH6                          0  0 o
Q2FWI0                          7  0 i16-37o43-63i198-221o227-250i550-572o592-611i632-656o
Q2FWJ3                          0  0 o
Q2FWJ9                          0  0 o
Q2FWK1                          0  0 o
Q2FWK2                          0  0 o
Q2FWK3                          0  0 o
Q2FWK6                          0  0 o
Q2FWK7                          0  0 o
Q2FWL2                          0  0 o
Q2FWN4                          0  0 o
Q2FWY7                         13  0 o16-37i57-74o86-105i135-152o172-195i204-224o244-267i288-312o332-360i381-401o407-431i438-457o469-487i
Q2FWY8                          0  0 o
Q2FWZ2                          0  0 i
Q2FWZ5                          0  0 o
Q2FWZ8                          0  0 o
Q2FWZ9                          0  0 o
Q2FX00                          0  0 o
Q2FX05                          0  0 o
Q2FX09                          0  0 o
Q2FX77                          0  0 o
Q2FX88                          0  0 o
Q2FX89                          0  0 o
Q2FX94                          0  0 o
Q2FXA3                          0  0 o
Q2FXA4                          0  0 o
Q2FXB0                          0  Y n2-12c17/18o
Q2FXB1                          0  Y n10-21c26/27o
Q2FXC2                          0  Y n9-17c22/23o
Q2FXC4                          0  Y n11-19c24/25o
Q2FXC8                          0  Y n10-21c29/30o
Q2FXE5                          3  Y n4-14c19/20o35-54i61-80o95-115i
Q2FXE6                          4  0 i5-23o29-55i67-87o93-114i
Q2FXF2                          0  0 o
Q2FXF9                          0  0 o
Q2FXG2                          0  0 o
Q2FXI2                          0  0 o
Q2FXJ2                          1  Y n19-32c40/41o872-890i
Q2FXJ5                          0  0 o
Q2FXL3                          0  0 o
Q2FXL5                          0  0 o
Q2FXM6                          0  0 o
Q2FXM7                          0  0 o
Q2FXM9                          0  0 o
Q2FXN4                          0  0 o
Q2FXP0                          0  0 o
Q2FXP2                          0  0 o
Q2FXP4                          0  0 o
Q2FXP7                          0  0 o
Q2FXQ6                          0  0 o
Q2FXQ7                          0  0 o
Q2FXQ9                          0  0 o
Q2FXR3                          0  0 i
Q2FXR4                          0  0 o
Q2FXR8                          0  0 o
Q2FXR9                          0  0 o
Q2FXT1                          0  0 o
Q2FXT3                          0  0 o
Q2FXT4                          0  0 o
Q2FXT6                          0  0 o
Q2FXT8                         11  0 o243-261i266-286o292-316i337-359o365-389i440-458o554-571i578-599o605-626i661-683o689-711i
Q2FXU0                          0  0 o
Q2FXU2                          0  0 o
Q2FXU3                          0  Y n18-36c40/41o
Q2FXU5                          0  0 o
Q2FXV6                          0  0 o
Q2FXV8                          0  0 o
Q2FXV9                          0  0 o
Q2FXW3                          0  0 o
Q2FXW6                          0  0 o
Q2FXX8                          0  0 o
Q2FXY1                          0  0 o
Q2FXY7                          0  0 o
Q2FXZ2                          0  0 o
Q2FXZ3                          0  0 o
Q2FY04                          0  0 o
Q2FY06                          0  0 o
Q2FY08                          0  0 o
Q2FY10                          0  0 o
Q2FY11                          0  0 o
Q2FY15                          0  0 o
Q2FY16                          0  0 o
Q2FY32                          0  0 o
Q2FY35                          0  0 o
Q2FY37                          0  0 o
Q2FY51                          0  0 o
Q2FY60                          0  0 o
Q2FY66                          0  0 o
Q2FY67                          0  0 o
Q2FY74                          0  0 o
Q2FY80                          2  0 i12-39o172-195i
Q2FYD8                          0  0 o
Q2FYF1                          1  0 i320-342o
Q2FYG7                          0  0 i
Q2FYG9                          0  0 o
Q2FYH0                          0  0 o
Q2FYH5                          0  0 o
Q2FYI1                          0  0 o
Q2FYJ3                          0  0 o
Q2FYJ6                          1  Y n19-30c39/40o9340-9361i
Q2FYK5                          0  0 o
Q2FYL5                          0  0 o
Q2FYM1                          0  0 o
Q2FYM2                          0  0 o
Q2FYM4                         12  0 i7-24o36-60i72-94o114-134i146-164o199-217i229-250o289-309i321-338o344-370i382-399o419-437i
Q2FYN4                          0  0 o
Q2FYP1                          0  0 o
Q2FYQ0                          0  0 o
Q2FYR1                          0  0 o
Q2FYR2                          0  0 o
Q2FYR7                          0  0 o
Q2FYS6                          5  0 o6-27i52-73o85-106i118-143o149-182i
Q2FYS9                          0  0 o
Q2FYT3                          0  0 o
Q2FYT4                          0  0 o
Q2FYT8                          0  0 o
Q2FYU1                          0  0 i
Q2FYU7                          0  0 o
Q2FYV3                          0  0 o
Q2FYV5                          0  0 o
Q2FYY6                          0  0 o
Q2FYZ2                          0  Y n6-13c18/19o
Q2FYZ5                          0  0 o
Q2FZ02                          0  0 o
Q2FZ09                          0  0 o
Q2FZ28                          0  0 o
Q2FZ29                          0  0 o
Q2FZ30                          0  0 o
Q2FZ31                          0  0 o
Q2FZ36                          0  0 o
Q2FZ37                          0  0 o
Q2FZ38                          0  0 o
Q2FZ46                          0  0 o
Q2FZ48                          0  0 i
Q2FZ49                          0  0 o
Q2FZ51                          0  0 o
Q2FZ53                          0  0 o
Q2FZ55                          0  0 o
Q2FZ62                          0  0 o
Q2FZ67                          0  0 o
Q2FZ70                          0  0 o
Q2FZ71                          0  0 o
Q2FZ74                          0  0 o
Q2FZ75                          0  0 o
Q2FZ79                          4  0 i5-28o64-83i90-109o129-151i
Q2FZ82                          0  0 o
Q2FZ89                          0  0 o
Q2FZC6                          0  0 o
Q2FZD0                          0  0 o
Q2FZD4                          0  0 o
Q2FZD7                          0  0 o
Q2FZD8                          0  0 o
Q2FZD9                          0  0 o
Q2FZF4                          0  0 o
Q2FZF5                          0  0 o
Q2FZH5                          0  0 o
Q2FZI5                          0  0 o
Q2FZI6                          0  0 o
Q2FZI7                          0  0 o
Q2FZI8                          0  0 o
Q2FZI9                          0  0 o
Q2FZJ0                          0  0 o
Q2FZJ1                          0  Y n3-8c13/14o
Q2FZJ2                          0  0 o
Q2FZJ4                          0  0 o
Q2FZJ5                          0  0 o
Q2FZJ6                          0  0 o
Q2FZJ9                          2  Y n6-17c22/23o38-63i84-106o
Q2FZK0                         14  0 o12-37i58-78o98-122i142-164o184-208i220-248o268-290i311-331o337-356i377-399o411-435i447-468o488-514i588-619o
Q2FZK1                          5  0 i20-43o63-84i91-109o129-156i176-199o
Q2FZK2                          3  0 i9-30o36-58i70-88o
Q2FZK3                          0  Y n8-19c23/24o
Q2FZL5                          0  0 o
Q2FZL7                          0  0 o
Q2FZM0                          9  0 i21-42o48-70i101-121o127-145i157-176o182-203i224-247o253-270i291-310o
Q2FZQ7                          0  0 o
Q2FZS0                          0  0 o
Q2FZT6                          0  0 o
Q2FZU0                          0  0 o
Q2FZU1                          0  0 o
Q2FZU6                          0  0 o
Q2FZW3                          1  0 i7-27o
Q2FZW4                          0  0 o
Q2FZW6                          0  0 o
Q2FZX4                          0  0 o
Q2FZY8                          9  0 o20-39i51-72o84-103i115-134o146-167i174-193o199-218i230-249o255-275i
Q2FZZ2                          0  0 o
Q2G002                          0  0 o
Q2G026                          2  0 o14-36i67-89o
Q2G029                          0  0 o
Q2G030                          0  0 o
Q2G031                          0  0 o
Q2G032                          0  0 o
Q2G036                          0  0 o
Q2G044                          5  0 o20-43i55-77o89-111i207-225o237-255i
Q2G045                          0  0 o
Q2G046                          0  0 o
Q2G055                          0  0 o
Q2G064                          0  0 o
Q2G069                          0  0 o
Q2G081                          0  0 o
Q2G090                          0  0 o
Q2G0B1                          0  0 o
Q2G0B4                          7  0 o50-68i99-118o130-150i162-182o202-223i235-256o268-288i
Q2G0D1                          0  0 o
Q2G0D4                          0  Y n4-11c16/17o
Q2G0D9                          2  0 i17-36o42-63i
Q2G0I9                          0  0 o
Q2G0K8                          0  0 o
Q2G0L5                          1  Y n28-43c50/51o971-988i
Q2G0M4                          0  0 o
Q2G0N0                          0  0 o
Q2G0N1                          0  0 o
Q2G0N5                          0  0 o
Q2G0P8                          0  0 o
Q2G0Q0                          0  0 o
Q2G0Q1                          0  0 o
Q2G0Q3                          0  0 o
Q2G0R1                          0  0 o
Q2G0R8                          0  0 o
Q2G0R9                          0  0 o
Q2G0S2                          0  0 o
Q2G0T0                          0  0 o
Q2G0T1                          0  0 o
Q2G0V2                          0  0 o
Q2G0W2                         13  0 o6-27i39-58o70-89i101-118o124-146i158-178o190-209i254-275o295-323i343-363o369-386i398-416o436-457i
Q2G0Y6                          0  0 o
Q2G0Y7                          0  0 o
Q2G0Y9                          0  0 o
Q2G0Z5                          0  0 o
Q2G119                          0  0 o
Q2G122                          0  0 o
Q2G140                         12  0 i21-45o51-73i94-117o137-155i167-188o194-217i243-268o288-306i318-337o357-376i388-410o416-437i
Q2G155                          0  Y n18-29c37/38o
Q2G163                          0  0 o
Q2G179                          0  0 o
Q2G185                          1  0 o229-252i
Q2G1A5                          0  0 o
Q2G1A6                          0  0 o
Q2G1B8                          0  0 o
Q2G1C1                          0  0 o
Q2G1C2                          0  0 o
Q2G1D7                          0  0 o
Q2G1D8                          0  0 o
Q2G1E0                          2  0 i20-41o223-244i
Q2G1E1                          0  0 o
Q2G1F2                          0  0 o
Q2G1F4                          0  0 o
Q2G1G5                         10  0 i132-155o161-180i200-225o237-254i266-293o305-327i348-369o381-401i408-429o449-470i
Q2G1G6                          0  0 o
Q2G1G8                         10  0 i12-36o74-101i122-150o170-190i211-232o278-296i303-320o326-350i357-374o380-402i
Q2G1H3                          0  0 o
Q2G1H4                          0  0 o
Q2G1H5                          0  0 o
Q2G1H6                          0  0 o
Q2G1I1                          0  0 o
Q2G1L8                          0  0 o
Q2G1N0                         10  0 i12-35o47-69i81-105o163-189i210-237o257-276i288-309o321-339i351-372o378-398i
Q2G1N1                          0  0 o
Q2G1N7                          0  0 o
Q2G1P1                          0  0 o
Q2G1Q2                          0  Y n7-18c26/27o
Q2G1R9                          0  0 o
Q2G1S3                          0  0 o
Q2G1S4                          0  0 o
Q2G1T6                          0  Y n8-19c24/25o
Q2G1T7                          0  0 o
Q2G1T9                          0  0 o
Q2G1W2                          0  0 o
Q2G1W4                          0  0 o
Q2G1X0                          0  Y n8-19c26/27o
Q2G1X6                          0  0 o
Q2G1X7                          0  0 o
Q2G1Y0                          0  0 o
Q2G1Y4                          0  0 o
Q2G1Y5                          0  0 o
Q2G1Y6                          0  0 o
Q2G1Z4                          0  0 o
Q2G1Z8                          0  0 o
Q2G1Z9                          0  0 o
Q2G203                          0  0 o
Q2G218                          0  0 o
Q2G224                          0  0 o
Q2G227                          0  0 o
Q2G228                          0  0 o
Q2G230                          0  0 o
Q2G236                          0  0 o
Q2G238                          0  0 o
Q2G241                          0  0 o
Q2G252                          0  0 o
Q2G258                          0  0 o
Q2G261                          0  0 o
Q2G266                          0  0 o
Q2G274                          0  0 o
Q2G278                          0  Y n5-16c24/25o
Q2G282                          0  0 o
Q2G283                          0  0 o
Q2G2A3                          0  0 o
Q2G2A7                          0  0 o
Q2G2B1                          0  0 o
Q2G2B2                          2  0 i27-44o1606-1622i
Q2G2B9                          8  0 i21-45o57-78i99-122o128-144i151-171o177-198i227-260o280-302i
Q2G2C2                         10  0 i20-40o66-85i97-115o127-148i160-178o184-202i209-229o288-314i326-351o363-385i
Q2G2D0                          0  0 o
Q2G2D5                          0  0 o
Q2G2F6                          1  Y n3-14c22/23o46-69i
Q2G2G2                          0  0 o
Q2G2I1                          1  0 i50-70o
Q2G2K5                          0  0 o
Q2G2L1                          0  0 o
Q2G2L3                          0  0 o
Q2G2M4                          0  0 o
Q2G2M6                          0  0 o
Q2G2M9                          6  0 i12-36o56-73i142-159o165-182i243-262o268-287i
Q2G2P2                          0  0 o
Q2G2P7                          0  0 o
Q2G2P8                          0  0 o
Q2G2Q2                          0  0 o
Q2G2Q3                          0  0 o
Q2G2S0                          0  0 o
Q2G2S6                          0  Y n7-18c25/26o
Q2G2U6                          0  0 o
Q2G2U9                          0  0 o
Q2G2V2                          0  0 o
Q2G2V3                          0  0 o
Q2G2X4                          0  0 o
Q2G2X6                          1  Y n4-15c24/25o402-423i
Q2G2Y0                          0  Y n11-22c30/31o
Q53700                          0  0 o
Q7BHL7                          1  0 i32-52o
Q9EYW6                          0  0 o
Q9EZ08                          0  0 o
Q9EZ11                          0  0 o
Q9EZ12                          0  0 o
Q9KJN3                          2  0 i12-33o154-176i
Q9KJN4                          0  0 o
Q9RQP7                          0  Y n6-17c21/22o
Q9RQP9                          4  0 o6-27i290-316o328-354i366-388o
Q9ZAH5                          0  0 o
Q9ZNI1                          0  Y n30-41c49/50o
O05154                          0  0 o
O08387                         10  0 i18-36o68-88i116-135o147-167i179-197o217-238i259-282o311-328i362-384o390-409i
P0A011                          0  0 o
P0A088                          0  0 o
P0A0B9                          0  0 o
P0A0F4                          0  0 o
P0A0F8                          0  0 o
P0A0G2                          0  0 i
P0A0I4                          1  0 i26-47o
P0A0K3                          0  0 o
P0A0M9                          0  0 i
P0A0Q0                          0  0 o
P0C948                          3  0 o6-26i38-62o68-92i
P31337                          0  0 o
P48860                          0  0 o
P48940                          0  0 i
P52078                          0  Y n8-19c24/25o
P60070                          0  0 o
P60430                          0  0 o
P60639                          6  0 o6-21i33-57o63-80i92-112o148-168i204-228o
P60647                          4  0 i7-24o30-49i65-86o92-114i
P72358                          4  0 i12-32o38-59i71-93o99-123i
Q2FUQ0                          0  0 i
Q2FUQ3                          0  0 o
Q2FUQ4                          0  0 o
Q2FUQ5                          0  0 o
Q2FUR6                          0  0 o
Q2FUS6                          0  0 o
Q2FUS7                          0  0 o
Q2FUS8                          0  0 o
Q2FUT6                          0  0 o
Q2FUT7                          0  0 o
Q2FUU0                          0  0 o
Q2FUU2                          0  0 o
Q2FUV2                          0  0 o
Q2FUV5                          0  0 o
Q2FUW8                          0  0 o
Q2FUW9                          2  0 i12-31o607-625i
Q2FUX0                         10  0 i133-155o175-194i201-218o224-243i255-277o297-315i336-359o371-392i399-418o438-459i
Q2FUX3                          0  Y n7-18c36/37o
Q2FUX4                          0  Y n2-10c16/17o
Q2FUX5                          0  0 i
Q2FUX7                          0  0 o
Q2FUX9                         14  0 o12-31i38-61o73-97i104-121o127-145i157-179o208-227i239-262o293-317i337-357o363-384i396-414o420-438i450-470o
Q2FUY3                          0  0 o
Q2FUY6                          0  Y n10-22c30/31o
Q2FUZ0                          2  0 i12-28o34-55i
Q2FUZ1                          0  0 o
Q2FUZ8                          0  0 o
Q2FUZ9                          0  0 o
Q2FV03                          0  0 o
Q2FV10                          0  0 o
Q2FV14                          0  0 o
Q2FV16                          0  Y n9-17c22/23o
Q2FV17                          0  0 i
Q2FV19                          0  0 o
Q2FV20                          0  0 o
Q2FV28                          0  0 o
Q2FV39                          0  0 o
Q2FV42                          0  0 i
Q2FV55                          0  Y n4-15c20/21o
Q2FV56                          0  Y n10-21c26/27o
Q2FV58                          5  0 o6-23i164-183o277-299i306-324o330-350i
Q2FV61                          0  0 o
Q2FV62                          0  0 o
Q2FV63                          0  0 o
Q2FV67                          0  0 o
Q2FV72                          9  0 i280-301o342-366i420-446o452-472i510-531o543-561i568-588o608-628i640-659o
Q2FV75                          0  0 o
Q2FV77                          0  0 o
Q2FV94                          0  0 o
Q2FV95                          0  0 o
Q2FVA3                          0  0 o
Q2FVA4                          0  0 o
Q2FVB2                          0  0 o
Q2FVC2                          0  0 o
Q2FVC4                          0  Y n9-20c24/25o
Q2FVD5                          0  0 o
Q2FVE2                          0  0 o
Q2FVF7                          0  0 o
Q2FVF8                          0  0 o
Q2FVG8                          0  0 o
Q2FVH2                         14  0 i12-36o48-67i79-96o102-125i137-157o163-183i204-223o229-253i274-297o309-326i338-355o361-383i404-429o441-459i
Q2FVH3                          0  Y n3-11c16/17o
Q2FVH6                          4  0 i7-27o389-409i429-452o472-491i
Q2FVI0                         13  0 o6-24i31-49o55-72i84-107o113-134i155-177o183-206i218-234o240-256i277-299o311-335i364-389o401-423i
Q2FVI5                         12  0 i12-30o50-69i81-99o105-123i135-157o169-189i217-236o256-276i283-303o309-331i343-363o375-394i
Q2FVJ1                          6  0 o22-48i60-84o142-159i166-185o247-270i277-294o
Q2FVJ2                          6  0 i20-38o58-78i136-155o161-179i247-269o275-292i
Q2FVJ9                          0  0 i
Q2FVK2                          0  Y n6-17c22/23o
Q2FVL5                          0  0 o
Q2FVL8                          0  0 o
Q2FVM1                          0  0 o
Q2FVM2                          0  0 o
Q2FVM4                          5  0 o6-25i46-71o83-107i127-148o187-213i
Q2FVN1                         12  0 i12-31o43-62i74-93o99-120i141-159o165-184i205-229o241-259i271-288o294-317i329-351o357-379i
Q2FVP8                          0  0 o
Q2FVQ2                          0  Y n4-15c19/20o
Q2FVQ4                         14  0 i12-33o39-58i70-89o116-144i156-177o197-215i227-247o253-270i294-314o320-336i348-372o392-414i426-448o512-531i
Q2FVQ5                          0  0 o
Q2FVQ9                          0  0 o
Q2FVR0                          3  Y n17-32c36/37o232-252i273-303o315-336i
Q2FVR8                          2  0 i257-277o289-309i
Q2FVS0                         11  0 o6-24i36-58o70-88i95-117o160-184i219-237o243-262i282-301o307-330i337-354o374-398i
Q2FVS1                          0  0 o
Q2FVS7                          0  0 o
Q2FVV7                          0  0 o
Q2FVW4                          0  0 o
Q2FVW5                          0  0 o
Q2FVW9                          0  Y n4-15c19/20o
Q2FVX3                          0  0 o
Q2FVX4                          0  Y n6-17c23/24o
Q2FVX5                          5  0 o6-33i45-67o79-104i145-170o193-214i
Q2FVX7                          0  0 o
Q2FVX8                          0  0 o
Q2FVY0                          0  0 o
Q2FVY2                          0  0 o
Q2FVY3                          0  0 o
Q2FVY9                          0  0 o
Q2FVZ6                          4  0 o6-23i30-49o55-73i85-104o
Q2FW06                          0  0 o
Q2FW07                          0  0 o
Q2FW08                          0  0 i
Q2FW10                          0  0 i
Q2FW11                          0  0 o
Q2FW12                          0  0 o
Q2FW13                          0  0 i
Q2FW14                          0  0 i
Q2FW15                          0  0 i
Q2FW16                          0  0 o
Q2FW17                          0  0 o
Q2FW18                          0  0 o
Q2FW20                          0  0 o
Q2FW21                          0  0 o
Q2FW22                          0  0 o
Q2FW23                          0  0 o
Q2FW28                          0  0 o
Q2FW29                          0  0 i
Q2FW30                          0  0 o
Q2FW31                          0  0 i
Q2FW33                          0  0 i
Q2FW36                          5  0 o26-56i63-87o107-129i150-168o247-265i
Q2FW38                          0  0 o
Q2FW39                          0  0 o
Q2FW49                          0  0 o
Q2FW50                          0  0 o
Q2FW52                          0  0 o
Q2FW53                          0  0 o
Q2FW57                          0  0 o
Q2FW66                          0  0 o
Q2FW70                          0  0 o
Q2FW72                          0  0 o
Q2FW82                          7  0 i36-54o60-81i93-115o121-139i151-171o177-197i206-226o
Q2FW84                          4  0 i12-39o63-83i95-117o123-142i
Q2FW86                          0  0 o
Q2FW91                          0  0 o
Q2FW96                          0  0 o
Q2FW97                          0  0 o
Q2FW99                          7  0 o20-43i55-78o84-114i135-156o162-187i274-293o318-340i
Q2FWB3                          0  0 o
Q2FWD0                          0  0 i
Q2FWD3                          0  0 o
Q2FWD6                          0  0 o
Q2FWD8                          0  0 o
Q2FWE0                          0  0 o
Q2FWE3                          0  0 o
Q2FWE7                          0  0 o
Q2FWE9                          0  0 o
Q2FWF7                          0  0 o
Q2FWG8                          2  0 o14-36i45-66o
Q2FWH2                         10  0 i20-42o54-71i78-97o117-137i153-172o178-197i204-225o296-317i329-350o362-385i
Q2FWH9                         12  0 o6-26i63-85o127-149i169-190o249-270i282-301o327-347i354-372o378-397i417-437o479-503i524-548o
Q2FWI1                          1  0 i12-34o
Q2FWI7                          0  0 i
