# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q2FVE8	OTHER	0.035704	0.964296	
Q2FVE9	OTHER	0.021256	0.978744	
Q2FVF0	OTHER	0.003839	0.996161	
Q2FVF1	OTHER	0.001596	0.998404	
Q2FVK1	SP(Sec/SPI)	0.993938	0.006062	CS pos: 26-27. ANA-EG. Pr: 0.8129
Q2FWC7	OTHER	0.001368	0.998632	
Q2FWD1	OTHER	0.034180	0.965820	
Q2FWH4	OTHER	0.001110	0.998890	
Q2FWH5	OTHER	0.001032	0.998968	
Q2FWH7	OTHER	0.000497	0.999503	
Q2FWK4	OTHER	0.002190	0.997810	
Q2FWP1	SP(Sec/SPI)	0.853224	0.146776	CS pos: 34-35. AKA-ES. Pr: 0.4186
Q2FWX9	OTHER	0.000402	0.999598	
Q2FXA5	OTHER	0.115288	0.884712	
Q2FXC3	SP(Sec/SPI)	0.715629	0.284371	CS pos: 21-22. VTG-IG. Pr: 0.3755
Q2FXG1	OTHER	0.000736	0.999264	
Q2FXG9	OTHER	0.001368	0.998632	
Q2FXJ0	OTHER	0.003004	0.996996	
Q2FXL1	OTHER	0.000520	0.999480	
Q2FXT0	OTHER	0.001192	0.998808	
Q2FYG1	OTHER	0.389435	0.610565	
Q2FYP0	OTHER	0.014781	0.985219	
Q2FYQ5	OTHER	0.014996	0.985004	
Q2FYQ6	OTHER	0.044235	0.955765	
Q2FYQ7	OTHER	0.000287	0.999713	
Q2FYQ8	OTHER	0.001316	0.998684	
Q2FYS4	OTHER	0.000273	0.999727	
Q2FYS5	OTHER	0.000772	0.999228	
Q2FZ19	OTHER	0.000310	0.999690	
Q2FZ20	OTHER	0.000951	0.999049	
Q2FZ22	OTHER	0.001329	0.998671	
Q2FZ27	OTHER	0.000325	0.999675	
Q2FZ32	OTHER	0.000464	0.999536	
Q2FZ50	OTHER	0.000386	0.999614	
Q2FZ66	OTHER	0.000386	0.999614	
Q2FZ72	OTHER	0.027095	0.972905	
Q2FZ73	OTHER	0.000923	0.999077	
Q2FZ92	OTHER	0.002084	0.997916	
Q2FZ93	OTHER	0.016412	0.983588	
Q2FZC5	OTHER	0.000310	0.999690	
Q2FZD3	OTHER	0.000625	0.999375	
Q2FZE2	OTHER	0.000984	0.999016	
Q2FZE3	OTHER	0.050506	0.949494	
Q2FZF0	SP(Sec/SPI)	0.504006	0.495994	CS pos: 40-41. AQA-AA. Pr: 0.2286
Q2FZG9	OTHER	0.004154	0.995846	
Q2FZK7	SP(Sec/SPI)	0.859994	0.140006	CS pos: 29-30. VQA-AE. Pr: 0.5567
Q2FZL3	SP(Sec/SPI)	0.857101	0.142899	CS pos: 29-30. AFA-NN. Pr: 0.6235
Q2FZP7	OTHER	0.002986	0.997014	
Q2FZT5	OTHER	0.001367	0.998633	
Q2G093	OTHER	0.004202	0.995798	
Q2G0E0	OTHER	0.000528	0.999472	
Q2G0J1	OTHER	0.001639	0.998361	
Q2G0L4	OTHER	0.003573	0.996427	
Q2G0P5	OTHER	0.001431	0.998569	
Q2G0P6	OTHER	0.000254	0.999746	
Q2G0P7	OTHER	0.001845	0.998155	
Q2G0R0	OTHER	0.269269	0.730731	
Q2G0S3	OTHER	0.001728	0.998272	
Q2G0U9	SP(Sec/SPI)	0.856642	0.143358	CS pos: 25-26. ANA-AT. Pr: 0.4617
Q2G0X7	SP(Sec/SPI)	0.819463	0.180537	CS pos: 30-31. VKA-EK. Pr: 0.2498
Q2G184	OTHER	0.000322	0.999678	
Q2G1B9	OTHER	0.001380	0.998620	
Q2G1C0	OTHER	0.003804	0.996196	
Q2G1C4	OTHER	0.001079	0.998921	
Q2G1J2	OTHER	0.001438	0.998562	
Q2G1M6	OTHER	0.002188	0.997812	
Q2G1M8	OTHER	0.007153	0.992847	
Q2G1M9	OTHER	0.002790	0.997210	
Q2G1N2	OTHER	0.000707	0.999293	
Q2G1N3	OTHER	0.001088	0.998912	
Q2G1U6	OTHER	0.001634	0.998366	
Q2G268	OTHER	0.331071	0.668929	
Q2G297	OTHER	0.000762	0.999238	
Q2G2C0	SP(Sec/SPI)	0.842024	0.157976	CS pos: 26-27. GGA-LV. Pr: 0.5689
Q2G2C4	OTHER	0.004723	0.995277	
Q2G2F3	OTHER	0.002938	0.997062	
Q2G2H5	OTHER	0.000553	0.999447	
Q2G2M2	OTHER	0.000904	0.999096	
Q2G2P5	SP(Sec/SPI)	0.968769	0.031231	CS pos: 26-27. SSG-KD. Pr: 0.3403
Q2G2Q0	OTHER	0.000474	0.999526	
Q2G2R8	SP(Sec/SPI)	0.993996	0.006004	CS pos: 25-26. ANA-ES. Pr: 0.9000
Q2G2U1	OTHER	0.001927	0.998073	
Q2G2U4	OTHER	0.013200	0.986800	
Q2G2X2	OTHER	0.001180	0.998820	
Q53726	OTHER	0.000555	0.999445	
Q53727	OTHER	0.000431	0.999569	
Q93Q23	OTHER	0.000148	0.999852	
O05204	OTHER	0.000654	0.999346	
O07325	OTHER	0.000519	0.999481	
O34090	OTHER	0.000733	0.999267	
P0A084	OTHER	0.039096	0.960904	
P0A086	OTHER	0.102488	0.897512	
P0A0H0	OTHER	0.000533	0.999467	
P0A0J3	OTHER	0.000825	0.999175	
P0C0V7	OTHER	0.001854	0.998146	
P47768	OTHER	0.000349	0.999651	
P60393	OTHER	0.000512	0.999488	
P60643	OTHER	0.001712	0.998288	
P68805	OTHER	0.005613	0.994387	
Q05615	OTHER	0.000311	0.999689	
Q2FUQ1	OTHER	0.001109	0.998891	
Q2FUQ2	OTHER	0.001476	0.998524	
Q2FUR9	OTHER	0.002332	0.997668	
Q2FUT8	OTHER	0.000527	0.999473	
Q2FUU1	OTHER	0.001536	0.998464	
Q2FUU5	SP(Sec/SPI)	0.949709	0.050291	CS pos: 34-35. AQA-AE. Pr: 0.6560
Q2FUW2	OTHER	0.008019	0.991981	
Q2FUW3	OTHER	0.000492	0.999508	
Q2FUW4	OTHER	0.001101	0.998899	
Q2FUW5	OTHER	0.001980	0.998020	
Q2FUW7	OTHER	0.004027	0.995973	
Q2FUX8	OTHER	0.000698	0.999302	
Q2FUY1	OTHER	0.000632	0.999368	
Q2FV11	OTHER	0.001155	0.998845	
Q2FV21	OTHER	0.001360	0.998640	
Q2FV22	OTHER	0.000906	0.999094	
Q2FV23	OTHER	0.001979	0.998021	
Q2FV30	OTHER	0.003137	0.996863	
Q2FV52	SP(Sec/SPI)	0.964256	0.035744	CS pos: 20-21. GYA-AG. Pr: 0.4290
Q2FV57	OTHER	0.023508	0.976492	
Q2FV60	SP(Sec/SPI)	0.640359	0.359641	CS pos: 16-17. AAA-AR. Pr: 0.3122
Q2FV74	OTHER	0.000716	0.999284	
Q2FV87	OTHER	0.137744	0.862256	
Q2FVB8	OTHER	0.005106	0.994894	
Q2FVC1	OTHER	0.001239	0.998761	
Q2FVJ5	OTHER	0.001047	0.998953	
Q2FVJ6	OTHER	0.001138	0.998862	
Q2FVJ7	OTHER	0.001034	0.998966	
Q2FVK5	SP(Sec/SPI)	0.874818	0.125182	CS pos: 29-30. AKA-SE. Pr: 0.3114
Q2FVK8	OTHER	0.001880	0.998120	
Q2FVM6	OTHER	0.000543	0.999457	
Q2FVM7	OTHER	0.001751	0.998249	
Q2FVQ8	OTHER	0.008718	0.991282	
Q2FVR1	OTHER	0.001006	0.998994	
Q2FVR9	OTHER	0.000721	0.999279	
Q2FVT0	OTHER	0.001920	0.998080	
Q2FVT2	OTHER	0.001603	0.998397	
Q2FVT3	OTHER	0.000629	0.999371	
Q2FVT5	OTHER	0.000986	0.999014	
Q2FVT6	OTHER	0.001601	0.998399	
Q2FVV9	OTHER	0.001029	0.998971	
Q2FVX9	OTHER	0.000971	0.999029	
Q2FVY4	OTHER	0.010062	0.989938	
Q2FVZ4	OTHER	0.000747	0.999253	
Q2FW03	OTHER	0.001932	0.998068	
Q2FW19	OTHER	0.001368	0.998632	
Q2FW27	OTHER	0.014831	0.985169	
Q2FW32	OTHER	0.000656	0.999344	
Q2FW34	OTHER	0.000729	0.999271	
Q2FW35	OTHER	0.001167	0.998833	
Q2FW37	OTHER	0.000577	0.999423	
Q2FW71	OTHER	0.009376	0.990624	
Q2FW92	OTHER	0.000346	0.999654	
Q2FWA0	OTHER	0.001887	0.998113	
Q2FWB8	OTHER	0.001427	0.998573	
Q2FWB9	OTHER	0.000915	0.999085	
Q2FWC1	OTHER	0.000681	0.999319	
Q2FWC3	OTHER	0.001060	0.998940	
Q2FWD4	OTHER	0.000766	0.999234	
Q2FWD7	OTHER	0.000169	0.999831	
Q2FWD9	OTHER	0.001144	0.998856	
Q2FWE1	OTHER	0.000643	0.999357	
Q2FWE2	OTHER	0.005412	0.994588	
Q2FWE5	OTHER	0.000896	0.999104	
Q2FWE6	OTHER	0.000346	0.999654	
Q2FWE8	OTHER	0.000762	0.999238	
Q2FWF0	OTHER	0.001161	0.998839	
Q2FWF1	OTHER	0.000853	0.999147	
Q2FWF4	OTHER	0.001976	0.998024	
Q2FWF5	OTHER	0.000512	0.999488	
Q2FWF8	SP(Sec/SPI)	0.977533	0.022467	CS pos: 19-20. VAG-NA. Pr: 0.2997
Q2FWG0	OTHER	0.000202	0.999798	
Q2FWG1	OTHER	0.019962	0.980038	
Q2FWG2	OTHER	0.000840	0.999160	
Q2FWG3	OTHER	0.002515	0.997485	
Q2FWG4	SP(Sec/SPI)	0.977334	0.022666	CS pos: 20-21. AGC-DY. Pr: 0.6560
Q2FWH3	OTHER	0.001099	0.998901	
Q2FWH6	OTHER	0.000493	0.999507	
Q2FWI0	OTHER	0.000352	0.999648	
Q2FWJ3	OTHER	0.002572	0.997428	
Q2FWJ9	OTHER	0.000599	0.999401	
Q2FWK1	OTHER	0.000470	0.999530	
Q2FWK2	OTHER	0.001309	0.998691	
Q2FWK3	OTHER	0.001158	0.998842	
Q2FWK6	OTHER	0.000386	0.999614	
Q2FWK7	OTHER	0.001784	0.998216	
Q2FWL2	OTHER	0.007316	0.992684	
Q2FWN4	OTHER	0.001615	0.998385	
Q2FWY7	OTHER	0.004632	0.995368	
Q2FWY8	OTHER	0.000487	0.999513	
Q2FWZ2	OTHER	0.000564	0.999436	
Q2FWZ5	OTHER	0.001104	0.998896	
Q2FWZ8	OTHER	0.000937	0.999063	
Q2FWZ9	OTHER	0.004079	0.995921	
Q2FX00	OTHER	0.000828	0.999172	
Q2FX05	OTHER	0.001753	0.998247	
Q2FX09	OTHER	0.000720	0.999280	
Q2FX77	OTHER	0.001704	0.998296	
Q2FX88	OTHER	0.000735	0.999265	
Q2FX89	OTHER	0.000496	0.999504	
Q2FX94	OTHER	0.000313	0.999687	
Q2FXA3	OTHER	0.000734	0.999266	
Q2FXA4	OTHER	0.023514	0.976486	
Q2FXB0	OTHER	0.441094	0.558906	
Q2FXB1	SP(Sec/SPI)	0.995928	0.004072	CS pos: 26-27. VDA-AQ. Pr: 0.9727
Q2FXC2	SP(Sec/SPI)	0.860060	0.139940	CS pos: 22-23. GFA-EN. Pr: 0.7230
Q2FXC4	SP(Sec/SPI)	0.956291	0.043709	CS pos: 24-25. INA-AV. Pr: 0.8556
Q2FXC8	SP(Sec/SPI)	0.655444	0.344556	CS pos: 24-25. VGT-TM. Pr: 0.1725
Q2FXE5	OTHER	0.037012	0.962988	
Q2FXE6	OTHER	0.024372	0.975628	
Q2FXF2	OTHER	0.000388	0.999612	
Q2FXF9	OTHER	0.003730	0.996270	
Q2FXG2	OTHER	0.000706	0.999294	
Q2FXI2	OTHER	0.001155	0.998845	
Q2FXJ2	SP(Sec/SPI)	0.590099	0.409901	CS pos: 40-41. AQA-AE. Pr: 0.5547
Q2FXJ5	OTHER	0.001009	0.998991	
Q2FXL3	OTHER	0.001266	0.998734	
Q2FXL5	OTHER	0.002049	0.997951	
Q2FXM6	OTHER	0.001251	0.998749	
Q2FXM7	OTHER	0.000563	0.999437	
Q2FXM9	OTHER	0.002464	0.997536	
Q2FXN4	OTHER	0.000913	0.999087	
Q2FXP0	OTHER	0.000479	0.999521	
Q2FXP2	OTHER	0.001120	0.998880	
Q2FXP4	OTHER	0.000629	0.999371	
Q2FXP7	OTHER	0.000548	0.999452	
Q2FXQ6	OTHER	0.000606	0.999394	
Q2FXQ7	OTHER	0.001144	0.998856	
Q2FXQ9	OTHER	0.001929	0.998071	
Q2FXR3	OTHER	0.000886	0.999114	
Q2FXR4	OTHER	0.002066	0.997934	
Q2FXR8	OTHER	0.000763	0.999237	
Q2FXR9	OTHER	0.001383	0.998617	
Q2FXT1	OTHER	0.001789	0.998211	
Q2FXT3	OTHER	0.001175	0.998825	
Q2FXT4	OTHER	0.000430	0.999570	
Q2FXT6	OTHER	0.001184	0.998816	
Q2FXT8	OTHER	0.000389	0.999611	
Q2FXU0	OTHER	0.001070	0.998930	
Q2FXU2	OTHER	0.001118	0.998882	
Q2FXU3	OTHER	0.066182	0.933818	
Q2FXU5	OTHER	0.001598	0.998402	
Q2FXV6	OTHER	0.005557	0.994443	
Q2FXV8	OTHER	0.000466	0.999534	
Q2FXV9	OTHER	0.000584	0.999416	
Q2FXW3	OTHER	0.000269	0.999731	
Q2FXW6	OTHER	0.015678	0.984322	
Q2FXX8	OTHER	0.002162	0.997838	
Q2FXY1	OTHER	0.001519	0.998481	
Q2FXY7	OTHER	0.000316	0.999684	
Q2FXZ2	OTHER	0.001467	0.998533	
Q2FXZ3	OTHER	0.000359	0.999641	
Q2FY04	OTHER	0.000915	0.999085	
Q2FY06	OTHER	0.000327	0.999673	
Q2FY08	OTHER	0.001467	0.998533	
Q2FY10	OTHER	0.001112	0.998888	
Q2FY11	OTHER	0.000932	0.999068	
Q2FY15	OTHER	0.000378	0.999622	
Q2FY16	OTHER	0.003297	0.996703	
Q2FY32	OTHER	0.019613	0.980387	
Q2FY35	OTHER	0.000975	0.999025	
Q2FY37	OTHER	0.000639	0.999361	
Q2FY51	OTHER	0.000855	0.999145	
Q2FY60	OTHER	0.019384	0.980616	
Q2FY66	OTHER	0.046123	0.953877	
Q2FY67	OTHER	0.002100	0.997900	
Q2FY74	OTHER	0.000418	0.999582	
Q2FY80	OTHER	0.000862	0.999138	
Q2FYD8	OTHER	0.001164	0.998836	
Q2FYF1	OTHER	0.000302	0.999698	
Q2FYG7	OTHER	0.000597	0.999403	
Q2FYG9	OTHER	0.002743	0.997257	
Q2FYH0	OTHER	0.000419	0.999581	
Q2FYH5	OTHER	0.000797	0.999203	
Q2FYI1	OTHER	0.001583	0.998417	
Q2FYJ3	OTHER	0.002422	0.997578	
Q2FYJ6	OTHER	0.300557	0.699443	
Q2FYK5	OTHER	0.001214	0.998786	
Q2FYL5	OTHER	0.014641	0.985359	
Q2FYM1	OTHER	0.000417	0.999583	
Q2FYM2	OTHER	0.000512	0.999488	
Q2FYM4	OTHER	0.121793	0.878207	
Q2FYN4	OTHER	0.001447	0.998553	
Q2FYP1	OTHER	0.000922	0.999078	
Q2FYQ0	OTHER	0.001261	0.998739	
Q2FYR1	OTHER	0.000741	0.999259	
Q2FYR2	OTHER	0.002858	0.997142	
Q2FYR7	OTHER	0.001211	0.998789	
Q2FYS6	OTHER	0.486205	0.513795	
Q2FYS9	OTHER	0.000356	0.999644	
Q2FYT3	OTHER	0.000512	0.999488	
Q2FYT4	OTHER	0.000766	0.999234	
Q2FYT8	OTHER	0.003118	0.996882	
Q2FYU1	OTHER	0.000515	0.999485	
Q2FYU7	OTHER	0.000598	0.999402	
Q2FYV3	OTHER	0.002989	0.997011	
Q2FYV5	OTHER	0.000274	0.999726	
Q2FYY6	OTHER	0.000434	0.999566	
Q2FYZ2	OTHER	0.070773	0.929227	
Q2FYZ5	OTHER	0.000642	0.999358	
Q2FZ02	OTHER	0.000666	0.999334	
Q2FZ09	OTHER	0.003144	0.996856	
Q2FZ28	OTHER	0.000255	0.999745	
Q2FZ29	OTHER	0.000738	0.999262	
Q2FZ30	OTHER	0.000869	0.999131	
Q2FZ31	OTHER	0.006125	0.993875	
Q2FZ36	OTHER	0.001476	0.998524	
Q2FZ37	OTHER	0.000892	0.999108	
Q2FZ38	OTHER	0.000400	0.999600	
Q2FZ46	OTHER	0.000587	0.999413	
Q2FZ48	OTHER	0.000354	0.999646	
Q2FZ49	OTHER	0.004429	0.995571	
Q2FZ51	OTHER	0.000333	0.999667	
Q2FZ53	OTHER	0.001750	0.998250	
Q2FZ55	OTHER	0.000896	0.999104	
Q2FZ62	OTHER	0.001212	0.998788	
Q2FZ67	OTHER	0.000458	0.999542	
Q2FZ70	OTHER	0.000907	0.999093	
Q2FZ71	OTHER	0.000366	0.999634	
Q2FZ74	OTHER	0.000641	0.999359	
Q2FZ75	OTHER	0.000437	0.999563	
Q2FZ79	OTHER	0.152780	0.847220	
Q2FZ82	OTHER	0.001183	0.998817	
Q2FZ89	OTHER	0.001768	0.998232	
Q2FZC6	OTHER	0.004103	0.995897	
Q2FZD0	OTHER	0.000338	0.999662	
Q2FZD4	OTHER	0.000353	0.999647	
Q2FZD7	OTHER	0.000673	0.999327	
Q2FZD8	OTHER	0.000535	0.999465	
Q2FZD9	OTHER	0.000320	0.999680	
Q2FZF4	OTHER	0.000635	0.999365	
Q2FZF5	OTHER	0.000418	0.999582	
Q2FZH5	OTHER	0.002259	0.997741	
Q2FZI5	OTHER	0.006389	0.993611	
Q2FZI6	OTHER	0.001203	0.998797	
Q2FZI7	OTHER	0.003483	0.996517	
Q2FZI8	OTHER	0.000772	0.999228	
Q2FZI9	OTHER	0.000837	0.999163	
Q2FZJ0	OTHER	0.000773	0.999227	
Q2FZJ1	OTHER	0.040317	0.959683	
Q2FZJ2	OTHER	0.002186	0.997814	
Q2FZJ4	OTHER	0.014992	0.985008	
Q2FZJ5	OTHER	0.001201	0.998799	
Q2FZJ6	OTHER	0.000784	0.999216	
Q2FZJ9	SP(Sec/SPI)	0.656308	0.343692	CS pos: 22-23. CSN-IE. Pr: 0.2037
Q2FZK0	OTHER	0.000355	0.999645	
Q2FZK1	OTHER	0.000784	0.999216	
Q2FZK2	OTHER	0.003019	0.996981	
Q2FZK3	OTHER	0.043268	0.956732	
Q2FZL5	OTHER	0.000326	0.999674	
Q2FZL7	OTHER	0.004140	0.995860	
Q2FZM0	OTHER	0.000884	0.999116	
Q2FZQ7	OTHER	0.001442	0.998558	
Q2FZS0	OTHER	0.001729	0.998271	
Q2FZT6	OTHER	0.000610	0.999390	
Q2FZU0	OTHER	0.000388	0.999612	
Q2FZU1	OTHER	0.004723	0.995277	
Q2FZU6	OTHER	0.000886	0.999114	
Q2FZW3	OTHER	0.258438	0.741562	
Q2FZW4	OTHER	0.000696	0.999304	
Q2FZW6	OTHER	0.001183	0.998817	
Q2FZX4	OTHER	0.001048	0.998952	
Q2FZY8	OTHER	0.007711	0.992289	
Q2FZZ2	OTHER	0.000637	0.999363	
Q2G002	OTHER	0.001125	0.998875	
Q2G026	OTHER	0.027892	0.972108	
Q2G029	OTHER	0.004476	0.995524	
Q2G030	OTHER	0.002260	0.997740	
Q2G031	OTHER	0.000513	0.999487	
Q2G032	OTHER	0.000702	0.999298	
Q2G036	OTHER	0.000797	0.999203	
Q2G044	OTHER	0.000796	0.999204	
Q2G045	OTHER	0.001346	0.998654	
Q2G046	OTHER	0.001810	0.998190	
Q2G055	OTHER	0.000383	0.999617	
Q2G064	OTHER	0.000414	0.999586	
Q2G069	OTHER	0.001522	0.998478	
Q2G081	OTHER	0.000988	0.999012	
Q2G090	OTHER	0.000891	0.999109	
Q2G0B1	OTHER	0.000550	0.999450	
Q2G0B4	OTHER	0.052667	0.947333	
Q2G0D1	OTHER	0.000630	0.999370	
Q2G0D4	SP(Sec/SPI)	0.773021	0.226979	CS pos: 25-26. AQA-ST. Pr: 0.3752
Q2G0D9	OTHER	0.006999	0.993001	
Q2G0I9	OTHER	0.000541	0.999459	
Q2G0K8	OTHER	0.001484	0.998516	
Q2G0L5	OTHER	0.022628	0.977372	
Q2G0M4	OTHER	0.000884	0.999116	
Q2G0N0	OTHER	0.000725	0.999275	
Q2G0N1	OTHER	0.000899	0.999101	
Q2G0N5	OTHER	0.002450	0.997550	
Q2G0P8	OTHER	0.000690	0.999310	
Q2G0Q0	OTHER	0.006762	0.993238	
Q2G0Q1	OTHER	0.000368	0.999632	
Q2G0Q3	OTHER	0.000278	0.999722	
Q2G0R1	OTHER	0.000603	0.999397	
Q2G0R8	OTHER	0.000931	0.999069	
Q2G0R9	OTHER	0.000801	0.999199	
Q2G0S2	OTHER	0.002167	0.997833	
Q2G0T0	OTHER	0.000787	0.999213	
Q2G0T1	OTHER	0.001078	0.998922	
Q2G0V2	OTHER	0.000494	0.999506	
Q2G0W2	OTHER	0.001791	0.998209	
Q2G0Y6	OTHER	0.000427	0.999573	
Q2G0Y7	OTHER	0.001689	0.998311	
Q2G0Y9	OTHER	0.000683	0.999317	
Q2G0Z5	OTHER	0.000301	0.999699	
Q2G119	OTHER	0.003031	0.996969	
Q2G122	OTHER	0.000494	0.999506	
Q2G140	OTHER	0.000358	0.999642	
Q2G155	OTHER	0.261103	0.738897	
Q2G163	OTHER	0.000592	0.999408	
Q2G179	OTHER	0.000666	0.999334	
Q2G185	OTHER	0.000513	0.999487	
Q2G1A5	OTHER	0.001623	0.998377	
Q2G1A6	OTHER	0.001310	0.998690	
Q2G1B8	OTHER	0.001244	0.998756	
Q2G1C1	OTHER	0.000468	0.999532	
Q2G1C2	OTHER	0.000810	0.999190	
Q2G1D7	OTHER	0.004809	0.995191	
Q2G1D8	OTHER	0.000858	0.999142	
Q2G1E0	OTHER	0.000497	0.999503	
Q2G1E1	OTHER	0.000718	0.999282	
Q2G1F2	OTHER	0.001763	0.998237	
Q2G1F4	OTHER	0.001408	0.998592	
Q2G1G5	OTHER	0.001113	0.998887	
Q2G1G6	OTHER	0.000960	0.999040	
Q2G1G8	OTHER	0.282810	0.717190	
Q2G1H3	OTHER	0.001554	0.998446	
Q2G1H4	OTHER	0.003271	0.996729	
Q2G1H5	OTHER	0.001266	0.998734	
Q2G1H6	OTHER	0.010155	0.989845	
Q2G1I1	OTHER	0.005029	0.994971	
Q2G1L8	OTHER	0.000398	0.999602	
Q2G1N0	OTHER	0.010124	0.989876	
Q2G1N1	OTHER	0.001613	0.998387	
Q2G1N7	OTHER	0.001020	0.998980	
Q2G1P1	OTHER	0.000760	0.999240	
Q2G1Q2	SP(Sec/SPI)	0.971647	0.028353	CS pos: 26-27. AHA-SD. Pr: 0.9293
Q2G1R9	OTHER	0.000328	0.999672	
Q2G1S3	OTHER	0.002585	0.997415	
Q2G1S4	OTHER	0.000348	0.999652	
Q2G1T6	OTHER	0.010250	0.989750	
Q2G1T7	OTHER	0.000338	0.999662	
Q2G1T9	OTHER	0.000872	0.999128	
Q2G1W2	OTHER	0.000820	0.999180	
Q2G1W4	OTHER	0.002121	0.997879	
Q2G1X0	SP(Sec/SPI)	0.996994	0.003006	CS pos: 26-27. ANA-AD. Pr: 0.9671
Q2G1X6	OTHER	0.000492	0.999508	
Q2G1X7	OTHER	0.002993	0.997007	
Q2G1Y0	OTHER	0.000476	0.999524	
Q2G1Y4	OTHER	0.000374	0.999626	
Q2G1Y5	OTHER	0.002386	0.997614	
Q2G1Y6	OTHER	0.000434	0.999566	
Q2G1Z4	OTHER	0.000547	0.999453	
Q2G1Z8	OTHER	0.000162	0.999838	
Q2G1Z9	OTHER	0.001114	0.998886	
Q2G203	OTHER	0.000285	0.999715	
Q2G218	OTHER	0.004733	0.995267	
Q2G224	OTHER	0.001357	0.998643	
Q2G227	OTHER	0.002353	0.997647	
Q2G228	OTHER	0.001431	0.998569	
Q2G230	OTHER	0.000934	0.999066	
Q2G236	OTHER	0.000248	0.999752	
Q2G238	OTHER	0.000858	0.999142	
Q2G241	OTHER	0.000526	0.999474	
Q2G252	OTHER	0.001297	0.998703	
Q2G258	OTHER	0.000451	0.999549	
Q2G261	OTHER	0.000779	0.999221	
Q2G266	OTHER	0.001255	0.998745	
Q2G274	OTHER	0.001163	0.998837	
Q2G278	SP(Sec/SPI)	0.996038	0.003962	CS pos: 24-25. AHA-QQ. Pr: 0.9247
Q2G282	OTHER	0.000706	0.999294	
Q2G283	OTHER	0.001482	0.998518	
Q2G2A3	OTHER	0.001450	0.998550	
Q2G2A7	OTHER	0.001553	0.998447	
Q2G2B1	OTHER	0.000360	0.999640	
Q2G2B2	OTHER	0.005238	0.994762	
Q2G2B9	OTHER	0.000499	0.999501	
Q2G2C2	OTHER	0.024327	0.975673	
Q2G2D0	OTHER	0.000354	0.999646	
Q2G2D5	OTHER	0.008959	0.991041	
Q2G2F6	OTHER	0.255027	0.744973	
Q2G2G2	OTHER	0.000357	0.999643	
Q2G2I1	OTHER	0.000972	0.999028	
Q2G2K5	OTHER	0.001156	0.998844	
Q2G2L1	OTHER	0.000439	0.999561	
Q2G2L3	OTHER	0.000965	0.999035	
Q2G2M4	OTHER	0.000581	0.999419	
Q2G2M6	OTHER	0.002838	0.997162	
Q2G2M9	OTHER	0.001299	0.998701	
Q2G2P2	OTHER	0.000506	0.999494	
Q2G2P7	OTHER	0.000496	0.999504	
Q2G2P8	OTHER	0.001164	0.998836	
Q2G2Q2	OTHER	0.000428	0.999572	
Q2G2Q3	OTHER	0.000749	0.999251	
